Grupa;5101282
Grybów;5101264
Gryfice;5100107
Gryfino;5100108
Gryfów+Śląski;5100109
Grylewo;5101254
Gryźliny;5101316
Grzegorzewo;5101141
Grzędzice;5101260
Grzępa;5101265
Grzęska;5101267
Grzmiąca;5100110
Grzybowa+Góra;5101249
Grzywna;5101315
Gułtowy;5101295
Gutowiec;5101294
Gwda+Mała;5101299
Hajnówka;5101334
Halinów;5101343
Hartowiec;5101351
Hel;5101340
Henrykowo;5101339
Henryków;5101341
Herby+Nowe;5100111
Herby+Stare;5100112
Hołówki+Duże;5101338
Hordzieżka;5100320
Horyniec-Zdrój;5101337
Hrebenne;5101335
Hrubieszów+Miasto;5101344
Hucisko;5101347
Hurko;5101346
Huta;5101345
Iława+Główna;5100075
Iława+Miasto;5101358
Iłowa+Żagańska;5101356
Iłowiec;5101357
Iłowo;5101361
Imbramowice;5101352
Imielin;5101359
Inowrocław;5100015
Inowrocław+Rąbinek;5101362
Inwałd;5101360
Iwin;5101363
Izbica;5101366
Jabłonowo+Pomorskie;5100113
Jabłoń+Kościelna;5101428
Jackowice;5101371
Jackowo+Dworskie;5101400
Jacków;5101368
Jadwiżyn;5101401
Jagodzin;5101421
Jaksice;5101377
Jaktorów;5101429
Jamielnik;5101438
Janikowo;5101442
Janinów;5101444
Jankowa;5101443
Jankowa+Żagańska;5101447
Jankowce;5101445
Jankowo+Dolne;5101441
Jankowo+Pomorskie;5101446
Janków+Przygodzki;5101454
Janowice+Wielkie;5101483
Janówek;5101486
Jarocin;5100016
Jarosław;5100233
Jarosty;5101381
Jaroszowiec+Olkuski;5101449
Jarszewo;5101383
Jarzębia+Łąka;5101378
Jarzębiec;5101456
Jasienica+Dolna;5101460
Jasienica+koło+Bielska;5101458
Jasienica+Mazowiecka;5101466
Jasień+Brzeski;5101467
Jasiona;5101468
Jasionka+Lotnisko;
Jasionna+Łowicka;5101465
Jasło;5100306
Jastarnia;5101385
Jastarnia+Wczasy;5104478
Jastrowie;5101471
Jastrząb;5101469
Jastrzębie+Pomorskie;5101382
Jastrzębna;5101461
Jastrzębsko;5101464
Jaszczów;5101491
Jaśkowice;5101472
Jaśkowice+Legnickie;5101432
Jaślany;5101387
Jawiszowice+Jaźnik;5101426
Jawor;5101487
Jaworze+Jasienica;5101485
Jaworzno+Ciężkowice;5101482
Jaworzno+koło+Wielunia;5101488
Jaworzno+Szczakowa;5100213
Jaworzyna+Śląska;5100077
Jazy;5101388
Jedlicze;5101396
Jedlicze+Męcinka;5101397
Jedlnia+Kościelna;5101410
Jedlnia-Letnisko;5101395
Jeglia;5101407
Jelcz+Laskowice;5102108
Jelcz+Miłoszyce;5101411
Jelenia+Góra;5100259
Jelenia+Góra+Cieplice+[dawna+lokalizacja];5100165
Jelenia+Góra+Orle;5101433
Jelenia+Góra+Sobieszów;5101423
Jelenia+Góra+Zachodnia;5101424
Jelenino;5101425
Jeleń;5101406
Jeleśnia;5101435
Jelna;5101402
Jełowa;5101437
Jeruty;5101419
Jerzmanice+Lubuskie;5101436
Jesionka;5101414
Jezierzany;5101493
Jezierzyce+Słupskie;5101502
Jeżewo;5101403
Jeżów+Sudecki;5101417
Jeżówka+(dawna+lokalizacja);5101496
Jędrzejów;5100115
Jędrzychowice;5101408
Jonkowo;5101450
Jordanów;5100116
Józefów;5101453
Józefów+Roztoczański;5101452
Julianka;5101476
Jurata;5101478
Justynów;5101479
Juszczyn;5101481
Kaczkowo;5101506
Kaczorowo;5104431
Kaczory;5101526
Kaczyce+koło+Cieszyna;5101546
Kalembina;5101581
Kalety;5100117
Kaliska;5101504
Kaliska+Kujawskie;5101514
Kalisz;5100017
Kalisz+Kaszubski;5101632
Kalisz+Pomorski;5101519
Kalisz+Pomorski+Miasto;5101747
Kalisz+Szczypiorno;5101781
Kalisz+Winiary;5101860
Kalwaria+Zebrzydowska;5101889
Kalwaria+Zebrzydowska+Lanckorona;5100118
Kałęczyn;5101571
Kały;5101515
Kamieniec+Ząbkowicki;5100018
Kamienna+Karczma;5101508
Kamienna+Nowa;5101704
Kamień+Mały;5100296
Kamień+Pomorski;5100247
Kamieńczyce;5101674
Kamieńsk;5101677
Kamionka+Wielka;5101670
Kamionki+Jezioro;5101513
Kanie;5101517
Kanie+Helenowskie;5101511
Kaniów;5101524
Karcino;5101551
Karczyn;5101555
Karlino;5101518
Karłowice;5101654
Karnkowo;5101644
Karsin;5101520
Karwica+Mazurska;5101859
Karwice;5101776
Karzec;5101890
Kasina+Wielka;5101789
Katowice;5100020
Katowice+Brynów;5101542
Katowice+Ligota;5101522
Katowice+Piotrowice;5101746
Katowice+Podlesie;5101808
Katowice+Szopienice+Południowe;5101812
Katowice+Załęże;5101527
Katowice+Zawodzie;5101537
Kawcze;5101525
Kawnice;5101851
Kazimierówka;5101896
Kazimierz+Pomorski;5101903
Kąkolewo;5101635
Kątne;5101803
Kąty+Wrocławskie;5101817
Kędzierzyn-Koźle;5100119
Kędzierzyn-Koźle+Azoty;5101579
Kędzierzyn-Koźle+Przystanek;5101593
Kędzierzyn-Koźle+Zachodnie;5101577
Kępa;5101569
Kępice;5101584
Kępka;5101745
Kępno;5100023
Kęszyce;5101587
Kętrzyn;5100120
Kęty;5101588
Kęty+Podlesie;5101592
Kiekrz;5101606
Kielce+Białogon;5101603
Kielce+Główne;5100022
Kielce+Herbskie;5100121
Kielce+Piaski;5101616
Kielce+Słowik;5103472
Kielce+Ślichowice;5101604
Kielcza;5101625
Kiełpino+Kartuskie;5101612
Kietlanka;5101602
Kijewo;5101628
Kity;5101619
Klecza+Dolna;5101650
Klecza+Górna;5101652
Klembów;5101658
Klementowice;5101664
Klepacze;5101648
Kleszczele+[dawna+lokalizacja];5101657
Klewki;5101591
Klępnica;5101748
Klimontów;5101613
Kliniska;5101786
Kluczbork;5100236
Kłaj;5101655
Kłodawa;5101563
Kłodzko+Główne;5101564
Kłodzko+Książek;5101566
Kłodzko+Miasto;5101567
Kłodzko+Zagórze;5101662
Kłokowa;5101666
Kłomnice;5101672
Kłudna;5101665
Knyszyn;5101713
Kobiór;5103873
Kobylany+[przystanek+osobowy];5104583
Kobylec;5101529
Kobylin;5101716
Kobylnica;5101536
Kobylnica+Słupska;5101539
Kobyłka;5101534
Kobyłka+Ossów;5102639
Kochanowice;5101550
Kochanówka+Pustków;5101557
Kojszówka;5101724
Kokotów;5101643
Kolbuszowa;5101540
Kolin;5101723
Kolonia;5101720
Kolonowskie;5101864
Kolumna;5101668
Koluszki;5100024
Kołbiel;5101661
Koło;5100258
Kołobrzeg;5100025
Kołobrzeg+Stadion;
Kołodziejewo;5101565
Komańcza;5101726
Komańcza+Letnisko;5101690
Komorowo+Żuławskie;5101871
Komorów;5101687
Komprachcice;5101681
Koniecpol;5100122
Koniecpol+Magdasz;5101703
Konin;5100026
Konin+Zachód;5101895
Konin+Żagański;5101894
Konojady;5101700
Konopki;5101706
Konotopie;5101805
Kończyce;5101876
Końskie;5101783
Kopalina;5101605
Kornatowo;5101771
Kornelin;5101763
Kornica;5101544
Korsze;5100123
Korwinów;5101868
Korzenica;5101901
Korzeńsko;5101906
Korzybie;5101875
Kosewo;5101731
Kosina;5102175
Kosiorki;5101793
Kosowo+Wielkopolskie;5101787
Kostomłoty;5101809
Kostów;5101815
Kostrzyn;5100214
Kostrzyn+Wielkopolski;5101819
Koszalin;5102441
Koszewnica;5101797
Koszęcin;5101574
Kościan;5100124
Kościernica;5101558
Kościerzyna;5101624
Kotlin;5101806
Kotomierz;5101804
Kotórz+Mały;5101900
Kotulin;5101825
Kotuń;5101733
Kowalewo+Pomorskie;5100125
Kowalów;5101736
Kozia+Góra;5101902
Koziebrody+(poprzednia+lokalizacja);5101905
Koziołek;5101898
Kozłowo;5101893
Kozłów;5101911
Kozuby;5101908
Kozy;5101737
Kozy+Zagroda;5101596
Koźla+Kożuchowska;5101559
Koźmin+Wielkopolski;5101675
Kórnik;5101620
Krajenka;5101630
Kraków+Batowice;5101756
Kraków+Bieżanów;5101757
Kraków+Bieżanów+Drożdżownia;5101759
Kraków+Bonarka;5101528
Kraków+Główny;5100028
Kraków+Łagiewniki;5101531
Kraków+Łobzów;5101633
Kraków+Mydlniki;5101689
Kraków+Mydlniki+Wapiennik;5101673
Kraków+Płaszów;5100240
Kraków+Podgórze+P2;5101638
Kraków+Sidzina;5101773
Kraków+Swoszowice;5101642
Kraków+Zabłocie;5101645
Kramsk;5101755
Krasiejów;5101765
Kraski;5101764
Krasnołąka;5101575
Krasnystaw+Miasto;5101788
Kraśnik;5101576
Kręcko;5101634
Krężel;5101585
Krężnica+Jara;5101626
Krobia;5101533
Krojanty;5101631
Krosno;5101770
Krosno+Miasto;5101768
Krosno+Polanka;5101750
Krosno+Turaszówka;5101774
Krosnowa;5101799
Krosnowice+Kłodzkie;5101547
Krostkowo;5101818
Krościenko;5101621
Krośnice;5101623
Krośnice+Mazowieckie;5101589
Krotoszyn;5100307
Królewo+Malborskie;5101848
Kruszwica;5101881
Kruszyna;5101881
Krynica-Zdrój;5100029
Krynka+Łukowska;5101778
Krzak;5103158
Krzcięcice;5101897
Krzemienica;5101688
Krzemieniewo;5101852
Krzemionki;5101682
Krzepice;5101753
Krzepów;5101854
Krzeszna;5101712
Krzeszowice;5101863
Krzewie;5101844
Krzycko+Wielkie;5101866
